"x1"	"x2"	"x3"	"x4"	"x5"	"x6"	"x7"	"x8"	"x9"	"x10"	"x11"	"x12"	"x13"	"x14"	"x16"	"x17"	"x18"	"x19"	"x21"	"x22"	"x23"	"x24"	"Y"
"1"	17,30066196	0,87	0,36	0,029	2,95	28,3	35,2	12,3	1,8	32,05	63,5	1	16	4,44	375	30,4	801	65,7	0,082	20,3	2	8	1218
"2"	18,92630569	0,86	0,34	0,03	2,99	27,7	26	33,1	1,42	29	57,5	2,7	16,15	4,73	393	37	671	62	0,059	27,30769231	2	8	1065
"3"	20,82595091	0,89	0,34	0,027	2,84	43	46,4	32,5	3,97	23,7	62,5	0,5	15,6	4,83	454	39,6	767	66,9	0,066	29,38461538	2	7	1146
"4"	17,55253204	0,9	0,54	0,027	2,84	43,73	49,8	6,5	1,87	24	60,3	0,56	15,03	4,69	537	58,8	580	63,5	0,08	28,5625	1	6	914
"5"	19,98653075	0,88	0,41	0,028	2,8	49,03	45,07	24,8	4,26	23,9	41,18	3,09	14,89	5,15	341	30,5	810	72,5	0,084	36,03225806	1	8	1117
"6"	17,80279905	0,91	0,68	0,028	2,85	41,7	51,7	0,15	4,7	24,7	56,6	0,98	14,91	5,09	438	32	916	67	0,044	25,79245283	1	3	1367
"7"	14,90482507	0,83	0,74	0,022	2,82	42,6	24	1,2	0,07	23,1	64,1	0,3	14,29	5,12	649	47,1	1029	74,6	0,076	32,06976744	1	7	1379
"8"	15,75847302	0,85	0,77	0,022	2,82	48,54	32,37	0,25	1,63	27,02	65,9	1,48	14,84	4,79	293	18,2	854	53,1	0,045	19,63414634	1	3	1610
"9"	14,76401666	0,8	0,73	0,023	2,89	41,64	21,6	0,6	0,3	31,6	60,7	0,6	15,3	5,56	777	32,3	2000	73,7	0,05	23,81578947	3	3	2715
"10"	15,08457977	0,79	0,61	0,027	2,72	56,8	25,8	0,17	0,7	26,6	57,5	0,87	14,6	4,99	840	48,3	1089	62,6	0,045	21,75	3	4	1740
"11"	15,45221806	0,84	0,66	0,027	2,84	37,2	31,7	0	0,82	24,4	52,7	1,4	15,63	4,41	605	35	1173	67,9	0,057	27,42857143	3	7	1728
"12"	16,72680585	0,87	0,68	0,03	2,89	40	40,93	0,08	3,25	28,97	47,76	0,75	14,83	5,09	573	42,76	996	74,33	0,076	17,86666667	1	8	1340
"13"	17,29280423	0,86	0,56	0,034	2,87	41,93	33,64	10,71	2,68	27,02	39,91	0,71	13,8	6,23	612	53,68	930	81,58	0,14	15	2	8	1140
"14"	18,89590435	0,87	0,46	0,036	2,92	33,68	38,16	18,64	4,25	12,54	34,63	0,44	14,1	5,26	422	46,8	539	59,82	0,136	18,02	2	8	901
"15"	18,20536051	0,81	0,46	0,036	2,99	27,91	20,72	20,4	4,77	12,97	39,56	0,39	15,17	5,42	516	40,82	854	67,56	0,103	29,39534884	2	3	1264
"16"	21,75	0,8	0,53	0,037	2,98	33,25	12,03	11,06	4,54	10,42	49,19	0,51	14,78	5,52	597	44,16	1049	77,59	0,16	25,50943396	1	3	1352
"17"	17,67	0,78	0,65	0,037	2,93	31,76	16,19	1,82	4,28	16,92	45,18	1,07	15,51	4,48	287	30,73	684	73,23	0,102	32,20689655	1	2	934
"18"	16,12	0,78	0,57	0,035	2,96	32,97	16,81	5,5	3,06	19,45	47,7	0,78	15,57	4,71	919	55,7	1095	66,36	0,121	22,2972973	1	3	1650
"19"	14,12	0,75	0,6	0,033	2,83	43,11	12,88	0,58	1,74	20,42	49,96	0,98	14,72	5,22	629	51,3	965	78,7	0,161	24,01960784	1	7	1225
"20"	18,58	0,76	0,54	0,033	2,8	48,56	11,39	0,55	1,52	19,46	51,3	0,44	14,51	5,21	383	41,63	856	93,04	0,162	23,58974359	1	2	920
"21"	15,46	0,78	0,58	0,034	2,91	40,44	14,53	0,29	1,54	19,56	53,63	0,73	15,82	4,47	228	16,7	954	69,89	0,117	29,67391304	3	3	1365
"22"	14,1	0,78	0,585	0,034	2,85	43,57	15,53	1,07	0,46	21,2	49,92	0,31	14,97	4,84	688	52,44	1157	88,18	0,102	22,23728814	3	4	1312
"23"	13,57	0,8	0,55	0,032	2,95	29,17	22,47	8,28	3,5	27,21	43,51	1,11	15,47	4,83	803	59,22	1036	76,4	0,098	24,21428571	3	4	1356
"24"	13,84	0,8	0,61	0,032	3,13	19,5	22,13	1,27	2,77	25,89	47,01	1,06	15,37	5,59	791	58,85	1058	78,72	0,079	28	3	1	1344
"25"	11,23	0,81	0,6	0,032	3,06	22,89	24,43	2,13	2,23	30,11	44,47	0,84	15,01	5,89	481	44,29	890	81,95	0,093	24,68181818	1	7	1086
"26"	19,68	0,84	0,61	0,033	2,92	33,34	28,99	0,3	1,22	27,87	44,46	1,19	14,54	5,45	360	36	706	70,5	0,105	26,34210526	1	8	1001
"27"	16,42	0,85	0,61	0,033	2,93	33,09	31,75	0,2	1,41	20,5	44,38	0,69	15,08	4,95	590	58,71	798	79,4	0,089	30,45454545	1	8	1005
"28"	17,2	0,82	0,63	0,031	2,77	55,71	21,29	7,4	0,5	11,56	37,04	0,64	14,93	4,82	536	38,23	1074	76,7	0,129	33,35714286	1	7	1401
"29"	14,56	0,84	0,6	0,033	2,87	37,54	26,27	0,2	1,61	34,9	28,68	0,89	15,24	4,51	415	36,8	822	73	0,059	26,18604651	1	8	1126
"30"	15,94	0,84	0,58	0,034	2,99	35,7	22,19	0	3,04	22,04	31,78	0	15,35	5,28	681	50	1026	75,4	0,153	31,65116279	2	3	1361
"31"	17,66	0,86	0,54	0,038	3,16	22,35	29,94	6,4	7,56	29,26	39,86	0	15,64	5,82	781	60	898	69	0,122	28,93333333	2	3	1302
"32"	17,76	0,88	0,54	0,036	3,13	15,5	34,94	6,99	12,05	27,34	43,04	0	15,6	6	580	42,7	973	71,7	0,172	27,14	2	3	1357
"33"	15,83	0,86	0,58	0,035	3,15	19,1	34,4	0,2	6,67	22,45	44,08	0	15,76	6,04	468	47,3	734	74,2	0,185	23,54761905	2	3	989
"34"	17,37	0,81	0,57	0,037	3,24	17,4	24,3	0	10,6	40,97	44,6	0	16,29	6,33	876	50,5	1283	74	0,142	28,40983607	1	1	1733
"35"	18,03917547	0,78	0,58	0,04	3,25	13,39	18,73	0,12	12,16	25,87	39,11	0,62	16,11	5,93	319	39,5	639	79,1	0,117	24,48484848	1	4	808
"36"	16,67	0,81	0,6	0,038	3,19	18,16	23,92	0	9,47	30,17	38,86	0,4	15,89	5,87	541	30,73863636	1276	72,5	0,179	22,85714286	1	1	1760
"37"	15,15	0,79	0,71	0,035	3,06	29	16,58	0	2,73	28,83	32,51	0,38	15,25	5,14	455	25,8	1252	79,4	0,128	30,30769231	1	7	1576
"38"	10,68	0,77	0,73	0,034	3,1	29	8,37	0	1,3	26,61	28,55	0,35	15,31	5,74	559	32,79	1319	77,36	0,151	27,95081967	3	4	1705
"39"	12,64	0,76	0,66	0,035	2,95	40,12	8	0,24	1,88	24,75	26,85	0,31	15,44	5,18	315	24,6	982	76,7	0,232	24,63461538	3	7	1281
"40"	14,57	0,79	0,61	0,034	2,96	41,48	12,6	0,2	2,42	37,92	40,6	0	14,85	6,5	737	48,17	1277	83,46	0,207	28,33333333	3	3	1530
"41"	11,24	0,82	0,63	0,037	3,1	26,35	19,54	0	4,99	1,42	38,83	0,2	15,42	6,14	391	26,2	1060	71,76	0,171	25,03389831	1	3	1477
"42"	14,44	0,81	0,65	0,036	3,13	20,21	19,58	0	3,8	38,59	51	0	15,54	7,11	145	10,21	926	65,21	0,176	26,2962963	1	3	1420
"43"	36,5	0,81	0,66	0,038	2,96	36,61	19,41	0,76	4,33	14,42	56,46	0,32	14,67	7,85	577	36,5	1214	76,8	0,13	31,62	1	1	1581
"44"	14,53	0,83	0,65	0,034	3,07	28,35	22,5	0,78	2,09	24,97	53,89	0,07	15,54	6,8	490	31,7769131	1148	74,44876783	0,165	27,53571429	1	1	1542
"45"	13,71	0,84	0,64	0,035	3,07	28,11	26,47	0	3,87	32,22	53,25	0,23	15,55	7,19	770	44,23	1176	67,55	0,128	29,01666667	2	3	1741
"46"	14,4	0,85	0,65	0,032	3,11	25,76	31,23	0,26	1,68	33,76	52,6	0,45	16,04	7,17	805	51,77	1271	81,74	0,124	26,81034483	2	3	1555
"47"	12,23	0,85	0,59	0,033	3,26	14,36	34,21	0,48	3,18	34,62	48,1	0,55	16,85	6,74	289	19,85	1145	78,64	0,161	28,54901961	2	3	1456
"48"	18,55	0,85	0,58	0,032	3,07	26,7	34,49	0,51	1,34	32,38	47,69	0,1	15,75	6,92	262	26,84	741	75,92	0,203	29,57575758	2	8	976
"49"	11,5	0,82	0,58	0,04	3,22	10,89	21,79	0,09	3,84	27,71	56,31	0,18	16,88	5,94	386	34,28	935	83,04	0,145	31,27777778	1	8	1126
"50"	13,3	0,83	0,53	0,038	3,16	9,44	23,72	10,06	1,8	46,04	55,16	0,15	17,8	4,49	131	19,6	569	85,05	0,155	22,3	1	6	669
"51"	10,96	0,86	0,45	0,037	3,16	14,8	32,9	1	2,1	34	52,3	0,43	17	5,67	386	33,3	933	80,5	0,194	32,19444444	1	1	1159
"52"	13,07	0,85	0,44	0,035	3,22	9,4	31,8	1,8	1,1	36,9	58,5	0,44	17,09	5,79	774	49,14	1275	80,95	0,113	30,28846154	1	3	1575
"53"	16,4	0,84	0,45	0,034	3,23	14,7	27,7	0,86	1,34	34,55	52,25	0,47	16,98	6,4	438	26,74	1237	75,52	0,143	24,44776119	1	1	1638
"54"	16,64	0,8	0,43	0,033	3,16	16,13	15,65	1,17	0,25	31,37	52,57	0,41	16,74	6,73	359	29,7	941	77,9	0,17	32,64864865	3	3	1208
"55"	16,47	0,8	0,42	0,035	3,23	12,7	18,63	0,64	1,42	26,32	47,35	0,49	16,64	6,4	624	30,6	1714	84	0,154	30,44776119	3	1	2040
"56"	11,86	0,78	0,44	0,036	3,3	9,67	15,31	1,23	1,27	22,58	46,92	0,45	16,79	5,83	560	25,3	1914	86,6	0,146	25,69767442	3	1	2210
